Drink,DrinkThumb,Glass,Ingredient1,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Instructions,Description,unit1,combined1,unit2,combined2,unit3,combined3,unit4,combined4,unit5,combined5,unit6,combined6,unit7,combined7,unit8,combined8,unit9,combined9,unit10,combined10,unit11,combined11,unit12,combined12,unit13,combined13,unit14,combined14,unit15,combined15
Lassi Raita,Http://www.thecocktaildb.com/images/media/drink/s4x0qj1487603933.jpg,Highball Glass,Yoghurt,,,,,,,Ice,Sugar,Lime,Salt,,,,,"Blend the yoghurt and ice cubes together, until the yoghurt becomes more liquid. Add sugar to taste. The lemon/lime is optional but it gives it a slightly tart taste. Dash of salt. Raita is also good for the summer. Instead of having a traditional salad you can make raita instead.","Lassi Raita: A refreshing and tangy lassi-based raita made with yogurt, grated cucumber, mint leaves, and spices, offering a cooling and creamy condiment perfect for pairing with Indian dishes or as a standalone refreshing drink.",ml,480,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Lemon Drop,Http://www.thecocktaildb.com/images/media/drink/mtpxgk1504373297.jpg,Cocktail Glass,Absolut Vodka,,,,,,,Cointreau,Lemon,,,,,,,Shake and strain into a chilled cocktail glass rimmed with sugar.,"Lemon Drop: A tangy and citrus-forward cocktail that combines vodka, lemon juice, and simple syrup, often served in a sugar-rimmed glass, creating a zesty and refreshing drink with a sweet and sour profile.",ml,45,ml,45,wedge , 1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Lemon Shot,Http://www.thecocktaildb.com/images/media/drink/mx31hv1487602979.jpg,Shot Glass,Galliano,,,,,,,Absolut Citron,Lemon,Sugar,151 Proof Rum,,,,,"Mix Galliano and Absolut Citron in a shot glass, lay lemon wedge sprinkled with sugar over glass and pour a rum over wedge and glass. light rum with a lighter and let burn for a second. Do shot quickly and suck on lemon. If it is done correctly, this will taste like a shot of sweet lemonade.","Lemon Shot: A zingy and invigorating shot that combines vodka, lemon juice, and a touch of sugar, offering a tart and citrusy shooter that packs a flavorful punch.",ml,15,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Lemouroudji,Http://www.thecocktaildb.com/images/media/drink/eirmo71487603745.jpg,Highball Glass,Ginger,,,,,,,Water,Lemon,Sugar,Cayenne Pepper,,,,,"Juice the lemons. Peel and grate the ginger. Place the grated ginger and a liberal dash of the cayenne pepper into a piece of cheesecloth, and tie it into a knot. Let soak in the water. After 15 minutes or so, add the sugar, and the lemon juice. Chill, and serve.","Lemouroudji: A vibrant and fruity cocktail that blends rum, lemon juice, orange juice, and grenadine, resulting in a tropical and tangy drink with a vibrant red hue.",pieces , 2,ml,4546,ml,450,ml,240,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Limeade,Http://www.thecocktaildb.com/images/media/drink/5jdp5r1487603680.jpg,Highball Glass,Lime,,,,,,,Sugar,Soda Water,Lime Peel,,,,,,"In a large glass, put the lime juice and sugar, and stir well. Add cold seltzer water to fill. Put the lime peels in the glass. Drink. Repeat until limes or soda run out.","Limeade: A refreshing and tart beverage made by combining fresh lime juice, water, and sugar, offering a tangy and thirst-quenching drink with a citrusy kick.",, ,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Limona Corona,Http://www.thecocktaildb.com/images/media/drink/wwqrsw1441248662.jpg,Beer Glass,Corona,,,,,,,Bacardi Limon,,,,,,,,"Open the Corona. Fill the empty space in the neck in the bottle with the rum. The bottle should be filled to the top. Plug the bottle with your thumb or the palm of your hand. Turn the bottle upside-down so the rum and beer mix. Turn the bottle rightside-up, unplug, and drink.","Limona Corona: A light and citrusy beer cocktail that involves adding fresh lime juice and a touch of salt to a cold bottle of Corona beer, creating a crisp and refreshing drink with a hint of tanginess.",ml,500,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Loch Lomond,Http://www.thecocktaildb.com/images/media/drink/rpvtpr1468923881.jpg,Cocktail Glass,Scotch,,,,,,,Drambuie,Dry Vermouth,Lemon Peel,,,,,,"In a mixing glass half-filled with ice cubes, combine the Scotch, Drambuie, and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.","Loch Lomond: A rich and smoky cocktail that combines Scotch whisky, Drambuie, lemon juice, and a dash of bitters, offering a robust and complex drink with a balanced blend of sweetness and peaty notes.",ml,60,ml,15,ml,15,twist of , 1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
London Town,Http://www.thecocktaildb.com/images/media/drink/rpsrqv1468923507.jpg,Cocktail Glass,Gin,,,,,,,Maraschino Liqueur,Orange Bitters,,,,,,,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","London Town: A sophisticated and aromatic cocktail that combines gin, dry vermouth, maraschino liqueur, and orange bitters, resulting in a smooth and herbaceous drink with a touch of floral and citrus undertones.",ml,45,ml,15,ml,2,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Lone Tree Cocktail,Http://www.thecocktaildb.com/images/media/drink/tsxpty1468923417.jpg,Cocktail Glass,Sweet Vermouth,,,,,,,Gin,,,,,,,,"Stir ingredients with ice, strain into a cocktail glass, and serve.","Lone Tree Cocktail: A unique and earthy cocktail that combines mezcal, Lillet Blanc, lime juice, and agave syrup, creating a smoky and slightly sweet drink with a hint of bitterness and complexity.",ml,22.5,ml,45,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Lone Tree Cooler,Http://www.thecocktaildb.com/images/media/drink/wsyqry1479298485.jpg,Collins Glass,Carbonated Water,,,,,,,Gin,Dry Vermouth,Powdered Sugar,Orange Spiral,Lemon Peel,,,,"Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice, add gin and vermouth, and stir. Fill with carbonated water and stir again. Add the twist of lemon peel and the orange spiral so that the end dangles over rim of glass.","Lone Tree Cooler: A crisp and refreshing cooler that combines gin, elderflower liqueur, cucumber slices, lime juice, and soda water, offering a light and rejuvenating drink with a cool cucumber twist.",, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Long Island Iced Tea,Http://www.thecocktaildb.com/images/media/drink/wx7hsg1504370510.jpg,Highball Glass,Vodka,,,,,,,Tequila,Light Rum,Gin,Coca-cola,Lemon Peel,,,,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,"Long Island Iced Tea: A potent and boozy cocktail that combines vodka, rum, tequila, gin, triple sec, lemon juice, simple syrup, and a splash of cola, resulting in a strong and complex drink with a balanced mix of flavors.",ml,15,ml,15,ml,15,ml,15,ml,1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Long Island Tea,Http://www.thecocktaildb.com/images/media/drink/ywxwqs1439906072.jpg,Highball Glass,Vodka,,,,,,,Light Rum,Gin,Tequila,Lemon,Coca-cola,,,,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,"Long Island Tea: A tropical and fruity cocktail that combines vodka, rum, tequila, gin, triple sec, lemon juice, and a splash of cola, creating a potent and refreshing drink with a harmonious blend of spirits and citrus flavors.",ml,15,ml,15,ml,15,ml,15,, ,ml,1,, ,, ,, ,, ,, ,, ,, ,, ,, 
Long Vodka,Http://www.thecocktaildb.com/images/media/drink/9179i01503565212.jpg,Highball Glass,Vodka,,,,,,,Lime,Angostura Bitters,Tonic Water,Ice,,,,,"Shake a tall glass with ice cubes and Angostura, coating the inside of the glass. Por the vodka onto this, add 1 slice of lime and squeeze juice out of remainder, mix with tonic, stir and voila you have a Long Vodka","Long Vodka: A popular and straightforward cocktail from Russia made by combining vodka and lemonade, resulting in a simple and easy-to-drink beverage with a clean and crisp taste.",ml,50,, ,ml,4,ml,100,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Lord And Lady,Http://www.thecocktaildb.com/images/media/drink/quwrys1468923219.jpg,Old-fashioned Glass,Dark Rum,,,,,,,Tia Maria,,,,,,,,Pour the rum and Tia Maria into an old-fashioned glass almost filled with ice cubes. Stir well.,"Lord and Lady: A sophisticated and elegant cocktail that combines Scotch whisky, sweet vermouth, Cointreau, and orange bitters, offering a balanced and smooth drink with a rich and complex flavor profile.",ml,45,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Lunch Box,Http://www.thecocktaildb.com/images/media/drink/qywpvt1454512546.jpg,Pint Glass,Beer,,,,,,,Amaretto,Orange Juice,,,,,,,Fill a pint glass almost full with beer. Then fill the rest with orange juice (careful not to fill it to the top). Then take the shot of Amaretto and drop it in.,"Lunch Box: A playful and nostalgic cocktail that combines beer, orange juice, and a splash of amaretto liqueur, creating a refreshing and sweet drink reminiscent of a childhood lunchtime treat.",ml,375,ml,30,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Mai Tai,Http://www.thecocktaildb.com/images/media/drink/twyrrp1439907470.jpg,Collins Glass,Light Rum,,,,,,,Orgeat Syrup,Triple Sec,Sweet And Sour,Cherry,,,,,Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.,"Mai Tai: A tropical and exotic cocktail that blends rum, lime juice, orange curaçao, orgeat syrup, and a splash of grenadine, offering a fruity and refreshing drink with a hint of almond and a vibrant garnish of fresh fruit.",ml,30,ml,15,ml,15,ml,45,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Malibu Twister,Http://www.thecocktaildb.com/images/media/drink/2dwae41504885321.jpg,Highball Glass,Malibu Rum,,,,,,,Tropicana,Cranberry Juice,,,,,,,"Add rum & trister then, add cranberry jucie,stir","Malibu Twister: A creamy and tropical cocktail that combines Malibu coconut rum, pineapple juice, orange juice, and a splash of grenadine, resulting in a luscious and fruity drink reminiscent of a tropical paradise.",part, 2,part, 2,part, 1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Mango Orange Smoothie,Http://www.thecocktaildb.com/images/media/drink/vdp2do1487603520.jpg,Highball Glass,Mango,,,,,,,Orange,,,,,,,,Throw everything into a blender and liquify.,"Mango Orange Smoothie: A vibrant and velvety smoothie made with ripe mangoes, freshly squeezed orange juice, yogurt, and a touch of honey, creating a tropical and refreshing drink bursting with mango and citrus flavors.",, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Manhattan,Http://www.thecocktaildb.com/images/media/drink/ec2jtz1504350429.jpg,Cocktail Glass,Sweet Vermouth,,,,,,,Bourbon,Angostura Bitters,Ice,Maraschino Cherry,Orange Peel,,,,"Stirred over ice, strained into a chilled glass, garnished, and served up.","Manhattan: A classic and sophisticated cocktail that combines whiskey, sweet vermouth, and a dash of bitters, often garnished with a cherry, offering a smooth and robust drink with a perfect balance of sweetness and bitterness.",ml,22.5,ml,75,, ,or 3 , 2,, ,twist of , 1,, ,, ,, ,, ,, ,, ,, ,, ,, 
Margarita,Http://www.thecocktaildb.com/images/media/drink/wpxpvu1439905379.jpg,Cocktail Glass,Tequila,,,,,,,Triple Sec,Lime Juice,Salt,,,,,,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass.","Margarita: A tangy and refreshing cocktail that combines tequila, lime juice, and orange liqueur, served in a salt-rimmed glass, creating a zesty and citrus-forward drink with a touch of sweetness and a hint of saltiness.",ml,45,ml,15,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Martinez Cocktail,Http://www.thecocktaildb.com/images/media/drink/wwxwvr1439906452.jpg,Cocktail Glass,Gin,,,,,,,Dry Vermouth,Triple Sec,Orange Bitters,Cherry,,,,,Stir all ingredients (except cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,"Martinez Cocktail: An elegant and aromatic cocktail that blends gin, sweet vermouth, maraschino liqueur, and orange bitters, offering a complex and well-balanced drink with a floral and herbal character.",ml,30,ml,30,ml,1.25,ml,1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Martini,Http://www.thecocktaildb.com/images/media/drink/71t8581504353095.jpg,Cocktail Glass,Gin,,,,,,,Dry Vermouth,Olive,,,,,,,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.","Martini: A timeless and classic cocktail that combines gin (or vodka) and dry vermouth, garnished with an olive or a twist of lemon, resulting in a sleek and sophisticated drink with a smooth and crisp taste.",ml,49.99999999999999,ml,10,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Mary Pickford,Http://www.thecocktaildb.com/images/media/drink/f9erqb1504350557.jpg,Cocktail Glass,Light Rum,,,,,,,Pineapple Juice,Maraschino Liqueur,Grenadine,Maraschino Cherry,,,,,Shake and strain into a chilled large cocktail glass,"Mary Pickford: A fruity and tropical cocktail that combines white rum, pineapple juice, grenadine, and maraschino liqueur, creating a vibrant and sweet drink with a touch of cherry and a hint of exotic flavors.",ml,45,ml,30,ml,2.5,ml,2.5,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Masala Chai,Http://www.thecocktaildb.com/images/media/drink/uyrpww1441246384.jpg,Coffee Mug,Water,,,,,,,Tea,Ginger,Cardamom,Cloves,Cinnamon,Black Pepper,Sugar,Milk,Bring 2 cups of water to boil. Add all the ingredients and boil again for about 15 seconds. Let stand for a minute. Warm milk in a pot. Filter tea into cups. Add milk and sugar. That's IT.,"Masala Chai: A fragrant and spiced tea-based drink made with black tea, milk, a blend of spices (such as cardamom, cinnamon, cloves, and ginger), and sweetened with sugar or honey, offering a comforting and aromatic beverage with a warming and flavorful twist.",ml,480,ml,20,chunk dried , 1,crushed , 4,, ,piece , 1,whole , 2,, ,, ,, ,, ,, ,, ,, ,, 
Melya,Http://www.thecocktaildb.com/images/media/drink/xwtptq1441247579.jpg,Coffee Mug,Espresso,,,,,,,Honey,Cocoa Powder,,,,,,,"Brew espresso. In a coffee mug, place 1 teaspoon of unsweetened powdered cocoa, then cover a teaspoon with honey and drizzle it into the cup. Stir while the coffee brews, this is the fun part. The cocoa seems to coat the honey without mixing, so you get a dusty, sticky mass that looks as though it will never mix. Then all at once, presto! It looks like dark chocolate sauce. Pour hot espresso over the honey, stirring to dissolve. Serve with cream.","Melya: A rich and indulgent cocktail that combines hot cocoa, honey, and brandy, often garnished with whipped cream and chocolate shavings, creating a decadent and comforting drink perfect for chilly evenings.",, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Miami Vice,Http://www.thecocktaildb.com/images/media/drink/qvuyqw1441208955.jpg,Cocktail Glass,151 Proof Rum,,,,,,,Pina Colada Mix,Daiquiri Mix,,,,,,,"First: Mix pina colada with 2.5 oz. of rum with ice(set aside). Second: Mix daiquiri with 2.5 oz. of rum with ice. Third: While frozen, add pina colda mix then daiquiri mix in glass (Making sure they do not get mixed together).","Miami Vice: A frozen and tropical cocktail that combines a strawberry daiquiri and a piña colada, layered together or swirled for a vibrant and refreshing drink that's both fruity and creamy.",ml,150,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Microwave Hot Cocoa,Http://www.thecocktaildb.com/images/media/drink/8y4x5f1487603151.jpg,Coffee Mug,Sugar,,,,,,,Cocoa Powder,Salt,Water,Milk,Vanilla Extract,,,,"Combine sugar, cocoa, salt and hot water in 1-quart micro-proof measuring cup (or coffee mug). Microwave at HIGH (100%) for 1 to 1 1/2 minutes or until boiling. Add milk, sitr and microwave an additonal 1 1/2 to 2 minutes or until hot. Stir in vanilla, blend well.","Microwave Hot Cocoa: A quick and convenient hot cocoa made by combining cocoa powder, sugar, milk, and a dash of vanilla extract, resulting in a rich and velvety chocolate drink perfect for cozying up on a cold day.",ml,75,ml,45,ml,1,ml,45,ml,480,ml,1.25,, ,, ,, ,, ,, ,, ,, ,, ,, 
Midnight Cowboy,Http://www.thecocktaildb.com/images/media/drink/vsxxwy1441208133.jpg,Cocktail Glass,Bourbon,,,,,,,Dark Rum,Heavy Cream,,,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","Midnight Cowboy: A rich and velvety cocktail that combines coffee liqueur, bourbon whiskey, cream, and a touch of chocolate syrup, creating a smooth and indulgent drink with a perfect balance of sweetness and bitterness.",ml,60,ml,30,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Midnight Manx,Http://www.thecocktaildb.com/images/media/drink/uqqurp1441208231.jpg,Old-fashioned Glass,Kahlua,,,,,,,Bailey's Irish Cream,Goldschlager,Heavy Cream,Coffee,,,,,"Fill a mixer with ice and add Baileys, Kahlua, Goldshlager, and cream. Shake for 5 seconds and Strain into a double rocks glass filled with ice. Add chilled coffee Stir and enjoy!","Midnight Manx: A dark and intriguing cocktail that combines dark rum, coffee liqueur, and cola, resulting in a robust and slightly sweet drink with a hint of bitterness and a deep, dark color.",ml,30,ml,30,, ,ml,60,ml,60,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Midnight Mint,Http://www.thecocktaildb.com/images/media/drink/svuvrq1441208310.jpg,Cocktail Glass,Bailey's Irish Cream,,,,,,,White Creme De Menthe,Cream,,,,,,,"If available, rim cocktail (Martini) glass with sugar syrup then dip into chocolate flakes or powder. Add ingredients into shaker with ice. Shake well then strain into cocktail glass.","Midnight Mint: A refreshing and minty cocktail that blends crème de menthe, white crème de cacao, cream, and a touch of vodka, offering a creamy and cool drink with a delightful chocolate-mint flavor combination.",ml,30,ml,22.5,ml,22.5,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Mimosa,Http://www.thecocktaildb.com/images/media/drink/juhcuu1504370685.jpg,Champagne Flute,Champagne,,,,,,,Orange Juice,,,,,,,,"Ensure both ingredients are well chilled, then mix into the glass. Serve cold.","Mimosa: A classic and brunch-favorite cocktail that combines sparkling wine (typically champagne) and freshly squeezed orange juice, creating a bright and effervescent drink with a citrusy and bubbly character.",, ,ml,60,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Mississippi Planters Punch,Http://www.thecocktaildb.com/images/media/drink/urpyqs1439907531.jpg,Collins Glass,Brandy,,,,,,,Light Rum,Bourbon,Lemon,Powdered Sugar,Carbonated Water,,,,"Shake all ingredients (except carbonated water) with ice and strain into a collins glass over ice cubes. Fill with carbonated water, stir, and serve.","Mississippi Planters Punch: A fruity and tropical punch that combines rum, lemon juice, orange juice, grenadine, and a splash of soda water, offering a refreshing and tangy drink with a vibrant mix of flavors.",ml,30,ml,15,ml,15,, ,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
