Drink,DrinkThumb,Glass,Ingredient1,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Instructions,Measure1,Measure10,Measure11,Measure12,Measure13,Measure14,Measure15,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Measure9,Description
Malibu Twister,Http://www.thecocktaildb.com/images/media/drink/2dwae41504885321.jpg,Highball Glass,Malibu Rum,,,,,,,Tropicana,Cranberry Juice,,,,,,,"Add rum & trister then, add cranberry jucie,stir",2 parts ,,,,,,,2 parts ,1 part ,,,,,,,"Malibu Twister: A creamy and tropical cocktail that combines Malibu coconut rum, pineapple juice, orange juice, and a splash of grenadine, resulting in a luscious and fruity drink reminiscent of a tropical paradise."
Mango Orange Smoothie,Http://www.thecocktaildb.com/images/media/drink/vdp2do1487603520.jpg,Highball Glass,Mango,,,,,,,Orange,,,,,,,,Throw everything into a blender and liquify.,1 ,,,,,,,2 ,,,,,,,,"Mango Orange Smoothie: A vibrant and velvety smoothie made with ripe mangoes, freshly squeezed orange juice, yogurt, and a touch of honey, creating a tropical and refreshing drink bursting with mango and citrus flavors."
Manhattan,Http://www.thecocktaildb.com/images/media/drink/ec2jtz1504350429.jpg,Cocktail Glass,Sweet Vermouth,,,,,,,Bourbon,Angostura Bitters,Ice,Maraschino Cherry,Orange Peel,,,,"Stirred over ice, strained into a chilled glass, garnished, and served up.",3/4 oz ,,,,,,,2 1/2 oz Blended ,dash ,2 or 3 ,1 ,1 twist of ,,,,"Manhattan: A classic and sophisticated cocktail that combines whiskey, sweet vermouth, and a dash of bitters, often garnished with a cherry, offering a smooth and robust drink with a perfect balance of sweetness and bitterness."
Margarita,Http://www.thecocktaildb.com/images/media/drink/wpxpvu1439905379.jpg,Cocktail Glass,Tequila,,,,,,,Triple Sec,Lime Juice,Salt,,,,,,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass.",1 1/2 oz ,,,,,,,1/2 oz ,1 oz ,,,,,,,"Margarita: A tangy and refreshing cocktail that combines tequila, lime juice, and orange liqueur, served in a salt-rimmed glass, creating a zesty and citrus-forward drink with a touch of sweetness and a hint of saltiness."
Martinez Cocktail,Http://www.thecocktaildb.com/images/media/drink/wwxwvr1439906452.jpg,Cocktail Glass,Gin,,,,,,,Dry Vermouth,Triple Sec,Orange Bitters,Cherry,,,,,Stir all ingredients (except cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,1 oz ,,,,,,,1 oz ,1/4 tsp ,1 dash ,1 ,,,,,"Martinez Cocktail: An elegant and aromatic cocktail that blends gin, sweet vermouth, maraschino liqueur, and orange bitters, offering a complex and well-balanced drink with a floral and herbal character."
Martini,Http://www.thecocktaildb.com/images/media/drink/71t8581504353095.jpg,Cocktail Glass,Gin,,,,,,,Dry Vermouth,Olive,,,,,,,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.",1 2/3 oz ,,,,,,,1/3 oz ,1 ,,,,,,,"Martini: A timeless and classic cocktail that combines gin (or vodka) and dry vermouth, garnished with an olive or a twist of lemon, resulting in a sleek and sophisticated drink with a smooth and crisp taste."
Mary Pickford,Http://www.thecocktaildb.com/images/media/drink/f9erqb1504350557.jpg,Cocktail Glass,Light Rum,,,,,,,Pineapple Juice,Maraschino Liqueur,Grenadine,Maraschino Cherry,,,,,Shake and strain into a chilled large cocktail glass,1 1/2 oz ,,,,,,,1 oz ,1/2 tsp ,1/2 tsp ,1 ,,,,,"Mary Pickford: A fruity and tropical cocktail that combines white rum, pineapple juice, grenadine, and maraschino liqueur, creating a vibrant and sweet drink with a touch of cherry and a hint of exotic flavors."
Masala Chai,Http://www.thecocktaildb.com/images/media/drink/uyrpww1441246384.jpg,Coffee Mug,Water,,,,,,,Tea,Ginger,Cardamom,Cloves,Cinnamon,Black Pepper,Sugar,Milk,Bring 2 cups of water to boil. Add all the ingredients and boil again for about 15 seconds. Let stand for a minute. Warm milk in a pot. Filter tea into cups. Add milk and sugar. That's IT.,2 cups ,,,,,,,3-4 tsp ,1 chunk dried ,3-4 crushed ,3 ,1 piece ,1-2 whole ," to taste
",,"Masala Chai: A fragrant and spiced tea-based drink made with black tea, milk, a blend of spices (such as cardamom, cinnamon, cloves, and ginger), and sweetened with sugar or honey, offering a comforting and aromatic beverage with a warming and flavorful twist."
Melya,Http://www.thecocktaildb.com/images/media/drink/xwtptq1441247579.jpg,Coffee Mug,Espresso,,,,,,,Honey,Cocoa Powder,,,,,,,"Brew espresso. In a coffee mug, place 1 teaspoon of unsweetened powdered cocoa, then cover a teaspoon with honey and drizzle it into the cup. Stir while the coffee brews, this is the fun part. The cocoa seems to coat the honey without mixing, so you get a dusty, sticky mass that looks as though it will never mix. Then all at once, presto! It looks like dark chocolate sauce. Pour hot espresso over the honey, stirring to dissolve. Serve with cream.",,,,,,,,Unsweetened ,,,,,,,,"Melya: A rich and indulgent cocktail that combines hot cocoa, honey, and brandy, often garnished with whipped cream and chocolate shavings, creating a decadent and comforting drink perfect for chilly evenings."
Miami Vice,Http://www.thecocktaildb.com/images/media/drink/qvuyqw1441208955.jpg,Cocktail Glass,151 Proof Rum,,,,,,,Pina Colada Mix,Daiquiri Mix,,,,,,,"First: Mix pina colada with 2.5 oz. of rum with ice(set aside). Second: Mix daiquiri with 2.5 oz. of rum with ice. Third: While frozen, add pina colda mix then daiquiri mix in glass (Making sure they do not get mixed together).",5 oz Bacardi ,,,,,,,frozen ,frozen ,,,,,,,"Miami Vice: A frozen and tropical cocktail that combines a strawberry daiquiri and a piña colada, layered together or swirled for a vibrant and refreshing drink that's both fruity and creamy."
Microwave Hot Cocoa,Http://www.thecocktaildb.com/images/media/drink/8y4x5f1487603151.jpg,Coffee Mug,Sugar,,,,,,,Cocoa Powder,Salt,Water,Milk,Vanilla Extract,,,,"Combine sugar, cocoa, salt and hot water in 1-quart micro-proof measuring cup (or coffee mug). Microwave at HIGH (100%) for 1 to 1 1/2 minutes or until boiling. Add milk, sitr and microwave an additonal 1 1/2 to 2 minutes or until hot. Stir in vanilla, blend well.",5 tblsp ,,,,,,,3 tblsp ,1 dash ,3 tblsp hot ,2 cups ,1/4 tsp ,,,,"Microwave Hot Cocoa: A quick and convenient hot cocoa made by combining cocoa powder, sugar, milk, and a dash of vanilla extract, resulting in a rich and velvety chocolate drink perfect for cozying up on a cold day."
Midnight Cowboy,Http://www.thecocktaildb.com/images/media/drink/vsxxwy1441208133.jpg,Cocktail Glass,Bourbon,,,,,,,Dark Rum,Heavy Cream,,,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",2 oz ,,,,,,,1 oz ,1/2 oz ,,,,,,,"Midnight Cowboy: A rich and velvety cocktail that combines coffee liqueur, bourbon whiskey, cream, and a touch of chocolate syrup, creating a smooth and indulgent drink with a perfect balance of sweetness and bitterness."
Midnight Manx,Http://www.thecocktaildb.com/images/media/drink/uqqurp1441208231.jpg,Old-fashioned Glass,Kahlua,,,,,,,Bailey's Irish Cream,Goldschlager,Heavy Cream,Coffee,,,,,"Fill a mixer with ice and add Baileys, Kahlua, Goldshlager, and cream. Shake for 5 seconds and Strain into a double rocks glass filled with ice. Add chilled coffee Stir and enjoy!",1 oz ,,,,,,,1 oz ,dash ,2 oz ,2 oz Hazlenut ,,,,,"Midnight Manx: A dark and intriguing cocktail that combines dark rum, coffee liqueur, and cola, resulting in a robust and slightly sweet drink with a hint of bitterness and a deep, dark color."
Midnight Mint,Http://www.thecocktaildb.com/images/media/drink/svuvrq1441208310.jpg,Cocktail Glass,Bailey's Irish Cream,,,,,,,White Creme De Menthe,Cream,,,,,,,"If available, rim cocktail (Martini) glass with sugar syrup then dip into chocolate flakes or powder. Add ingredients into shaker with ice. Shake well then strain into cocktail glass.",1 oz ,,,,,,,3/4 oz ,3/4 oz double ,,,,,,,"Midnight Mint: A refreshing and minty cocktail that blends crème de menthe, white crème de cacao, cream, and a touch of vodka, offering a creamy and cool drink with a delightful chocolate-mint flavor combination."
Mimosa,Http://www.thecocktaildb.com/images/media/drink/juhcuu1504370685.jpg,Champagne Flute,Champagne,,,,,,,Orange Juice,,,,,,,,"Ensure both ingredients are well chilled, then mix into the glass. Serve cold.",Chilled ,,,,,,,2 oz ,,,,,,,,"Mimosa: A classic and brunch-favorite cocktail that combines sparkling wine (typically champagne) and freshly squeezed orange juice, creating a bright and effervescent drink with a citrusy and bubbly character."
Mississippi Planters Punch,Http://www.thecocktaildb.com/images/media/drink/urpyqs1439907531.jpg,Collins Glass,Brandy,,,,,,,Light Rum,Bourbon,Lemon,Powdered Sugar,Carbonated Water,,,,"Shake all ingredients (except carbonated water) with ice and strain into a collins glass over ice cubes. Fill with carbonated water, stir, and serve.",1 oz ,,,,,,,1/2 oz ,1/2 oz ,Juice of 1/2 ,1 tblsp ,,,,,"Mississippi Planters Punch: A fruity and tropical punch that combines rum, lemon juice, orange juice, grenadine, and a splash of soda water, offering a refreshing and tangy drink with a vibrant mix of flavors."
Mocha-berry,Http://www.thecocktaildb.com/images/media/drink/vtwyyx1441246448.jpg,Irish Coffee Cup,Coffee,,,,,,,Chambord Raspberry Liqueur,Cocoa Powder,Whipped Cream,,,,,,"pour 6 oz. of coffee in a mug or Irish coffee cup. add coca mix and chambord, mix well and top off with whipped cream.",6 oz ,,,,,,,2 oz ,2 tblsp ,,,,,,,"Mocha-Berry: A decadent and indulgent cocktail that combines coffee liqueur, crème de cacao, vodka, and a splash of raspberry liqueur, creating a rich and flavorful drink reminiscent of a chocolate-covered berry treat."
Mojito,Http://www.thecocktaildb.com/images/media/drink/rxtqps1478251029.jpg,Highball Glass,Light Rum,,,,,,,Lime,Sugar,Mint,Soda Water,,,,,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.,2-3 oz ,,,,,,,Juice of 1 ,2 tsp ,2-4 ,,,,,,"Mojito: A classic and refreshing cocktail that combines rum, fresh mint leaves, lime juice, sugar, and soda water, offering a zesty and minty drink with a citrusy kick and a hint of sweetness."
Mojito #3,Http://www.thecocktaildb.com/images/media/drink/vwxrsw1478251483.jpg,Collins Glass,Mint,,,,,,,Lemon Juice,Dark Rum,Club Soda,Angostura Bitters,,,,,"Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura.",1/2 handful ,,,,,,,3 cl ,1/8 L Jamaican ,1/8 L ,8 drops ,,,,,"Mojito #3: A twist on the classic mojito, this version adds muddled berries (such as strawberries, blueberries, or raspberries) to the mix, creating a fruity and vibrant cocktail with a burst of berry flavors."
Monkey Gland,Http://www.thecocktaildb.com/images/media/drink/94psp81504350690.jpg,Cocktail Glass,Gin,,,,,,,Benedictine,Orange Juice,Grenadine,,,,,,"Shake well over ice cubes in a shaker, strain into a chilled cocktail glass.",2 oz ,,,,,,,1 tsp ,1/2 oz ,1 tsp ,,,,,,"Monkey Gland: A unique and complex cocktail that combines gin, orange juice, grenadine, and a touch of absinthe or anise liqueur, resulting in a fruity and herbal drink with a hint of licorice and a vibrant red hue."
Monkey Wrench,Http://www.thecocktaildb.com/images/media/drink/8it05n1504353314.jpg,Old-fashioned Glass,Light Rum,,,,,,,Grapefruit Juice,Bitters,,,,,,,Pour all of the ingredients into an old-fashioned glass almost filled with ice cubes. Stir well.,1 1/2 oz ,,,,,,,3 oz ,1 dash ,,,,,,,"Monkey Wrench: A tangy and refreshing cocktail that blends vodka, orange juice, cranberry juice, and a splash of lemon-lime soda, creating a vibrant and citrus-forward drink with a slight fizz and a burst of fruity flavors."
Moranguito,Http://www.thecocktaildb.com/images/media/drink/urpsyq1475667335.jpg,Shot Glass,Absinthe,,,,,,,Tequila,Grenadine,,,,,,,"first you put rhe absinthe, then put tequila, then put the Granadine syrup.",2/5 ,,,,,,,2/5 ,1/5 ,,,,,,,"Moranguito: A delightful and fruity cocktail that combines vodka, strawberry liqueur, lime juice, and a touch of simple syrup, offering a sweet and tangy drink with a pronounced strawberry taste and a vibrant pink color."
Moscow Mule,Http://www.thecocktaildb.com/images/media/drink/3pylqc1504370988.jpg,Copper Mug,Vodka,,,,,,,Lime Juice,Ginger Ale,,,,,,,Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.,2 oz ,,,,,,,2 oz ,8 oz ,,,,,,,"Moscow Mule: A classic and popular cocktail that combines vodka, ginger beer, and fresh lime juice, often served in a copper mug, creating a zingy and effervescent drink with a spicy kick and a refreshing citrus twist."
Mother's Milk,Http://www.thecocktaildb.com/images/media/drink/7stuuh1504885399.jpg,Shot Glass,Goldschlager,,,,,,,Butterscotch Schnapps,Milk,,,,,,,"Shake over ice, strain. Serves two.",1 oz ,,,,,,,1 oz ,1 oz ,,,,,,,"Mother's Milk: A creamy and comforting cocktail that combines Irish cream liqueur, vanilla vodka, and a touch of strawberry liqueur or grenadine, resulting in a smooth and luscious drink with a sweet and creamy flavor reminiscent of dessert."
Mudslinger,Http://www.thecocktaildb.com/images/media/drink/hepk6h1504885554.jpg,Punch Bowl,Southern Comfort,,,,,,,Orange Juice,Pepsi Cola,,,,,,,Add all contents to a large jug or punch bowl. Stir well!,750 ml ,,,,,,,1 L ,750 ml ,,,,,,,"Mudslinger: A playful and indulgent cocktail that combines Irish cream liqueur, coffee liqueur, chocolate syrup, and milk or cream, creating a rich and velvety drink with a chocolate-coffee fusion and a touch of sweetness."
Mulled Wine,Http://www.thecocktaildb.com/images/media/drink/iuwi6h1504735724.jpg,Collins Glass,Water,,,,,,,Sugar,Cloves,Cinnamon,Lemon Peel,Red Wine,Brandy,,,"Simmer 3 cups water with, sugar, cloves, cinnamon sticks, and lemon peel in a stainless steel pot for 10 minutes. Add wine heat to a ""coffee temperature"" (DO NOT BOIL) then add the brandy.",3 cups ,,,,,,,1 cup ,12 ,2 ,1 ,750 ml ,1/4 cup ,,,"Mulled Wine: A warm and spiced beverage made by simmering red wine with spices like cinnamon, cloves, star anise, and orange peel, often sweetened with sugar or honey, resulting in a comforting and aromatic drink perfect for the colder months."
National Aquarium,Http://www.thecocktaildb.com/images/media/drink/dlw0om1503565021.jpg,Collins Glass,Rum,,,,,,,Vodka,Gin,Blue Curacao,Sour Mix,Lemon-lime Soda,,,,Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.,1/2 oz ,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,2 oz ,1 splash ,,,,"National Aquarium: A colorful and tropical cocktail that blends rum, blue curaçao, pineapple juice, and lemon-lime soda, creating a vibrant and refreshing drink with a mesmerizing blue hue reminiscent of the ocean."
Negroni,Http://www.thecocktaildb.com/images/media/drink/tutwwv1439907127.jpg,Old-fashioned Glass,Gin,,,,,,,Campari,Sweet Vermouth,,,,,,,"Stir into glass over ice, garnish and serve.",1 oz ,,,,,,,1 oz ,1 oz ,,,,,,,"Negroni: A classic and bold cocktail that combines equal parts gin, Campari, and sweet vermouth, resulting in a bitter and herbaceous drink with a robust flavor profile and a hint of sweetness."
New York Lemonade,Http://www.thecocktaildb.com/images/media/drink/b3n0ge1503565473.jpg,Cocktail Glass,Absolut Citron,,,,,,,Grand Marnier,Lemon Juice,Club Soda,,,,,,Serve in a chilled cocktail glass. Lemon and sugar the rim. Stir and Strain.,2 oz ,,,,,,,1 oz ,2 oz sweetened ,1 oz ,,,,,,"New York Lemonade: A zesty and invigorating cocktail that combines vodka, lemon juice, sugar, and a splash of club soda, offering a tart and citrusy drink with a fizzy kick and a touch of sweetness."
New York Sour,Http://www.thecocktaildb.com/images/media/drink/61wgch1504882795.jpg,Whiskey Sour Glass,Blended Whiskey,,,,,,,Lemon,Sugar,Red Wine,Lemon,Cherry,,,,"Shake blended whiskey, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Float claret on top. Decorate with the half-slice of lemon and the cherry and serve.",2 oz ,,,,,,,Juice of 1/2 ,1 tsp ," (Claret)
",,,,,,"New York Sour: A sophisticated and visually striking cocktail that combines whiskey, lemon juice, sugar, and a float of red wine on top, creating a balanced and tangy drink with a beautiful layered appearance."
Nuked Hot Chocolate,Http://www.thecocktaildb.com/images/media/drink/xcu6nb1487603142.jpg,Coffee Mug,Cocoa Powder,,,,,,,Sugar,Vanilla Extract,Milk,,,,,,"Mix with a bit of milk (1 oz or so) in coffee mug. Nuke mug for about 30-50 seconds. Stir until the heated cocoa dissolves. Fill mug with milk. Nuke for 1-2 minutes, depending on wattage and preferences as to burnt mouth parts.",2 tsp ,,,,,,,1 tsp ,1/2 tsp ,12 oz ,,,,,,"Nuked Hot Chocolate: A quick and indulgent hot chocolate made by microwaving a mixture of milk, cocoa powder, sugar, and a dash of vanilla extract, resulting in a rich and comforting chocolate drink in minutes."
